aCCAP 1L,aCCAP 1R,aCCAP 2L,aCCAP 2R,aCCAP 3L,aCCAP 3R,aCCAP 4L,aCCAP 4R,bCCAP 1L,bCCAP 1R,bCCAP 2L,bCCAP 2R,bCCAP 3L,bCCAP 3R,bCCAP 4L,bCCAP 4R
0.0,0.0,0.0,0.0,3.0235888288856528e-05,2.3124174870912395e-05,0.003111951281546991,2.7842925197841898e-05,0.028834936320298057,0.15680870290961418,0.027343203732012468,0.0018866442307160162,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.5117944144428264e-05,1.1562087435456198e-05,0.003121604507685208,1.3921462598920949e-05,0.028882786247722208,0.15692451146862332,0.027362179545629334,0.00187598522376288,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0031312577338234253,0.0,0.028930636175150723,0.15704032002764348,0.027381155359246196,0.0018653262168097436,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0003196920454927065,0.002710113612210188,0.004445706358933916,0.001983016946307253,0.023144508940117086,0.1740455291104381,0.02428174696339266,0.003999136312697109,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0006393840909839711,0.005420227224419469,0.0057601549840451734,0.003966033892613608,0.017358381705092178,0.1910507381932327,0.021182338567539125,0.006132946408584475,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0009590761364766776,0.008130340836629656,0.007074603609155665,0.005949050838920861,0.011572254470058543,0.20805594727602733,0.018082930171683,0.00826675650447048,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0012787681819686632,0.010840454448838938,0.008389052234266921,0.007932067785227216,0.005786127235033635,0.22506115635883295,0.014983521775829468,0.010400566600357845,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0015984602274613697,0.013550568061049125,0.009703500859376647,0.009915084731533571,0.0,0.24206636544162757,0.011884113379975934,0.01253437669624521,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0031457889016221286,0.014561231588504218,0.010694446493006307,0.011898101677839926,0.010487598533930772,0.24822517051832416,0.015878573156543344,0.014725627928814978,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.004693117575782888,0.015571895115958403,0.011685392126636733,0.013881118624147178,0.020975197067852815,0.25438397559503173,0.019873032933110758,0.016916879161384745,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.006240446249943646,0.016582558643413497,0.012676337760266394,0.01586413557045443,0.03146279560178359,0.2605427806717173,0.023867492709679465,0.019108130393955872,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.007787774924103684,0.017593222170866774,0.013667283393896822,0.017847152516760785,0.04195039413570563,0.2667015857484139,0.027861952486246875,0.02129938162652564,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.009335103598264442,0.018603885698321866,0.014658229027526481,0.019830169463067142,0.052437992669636405,0.2728603908251105,0.031856412262814285,0.023490632859094047,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.008812697791033643,0.01836232284753574,0.012619029974286362,0.018565001782229775,0.047695840295252555,0.25562195297436496,0.030799454343338244,0.022197121799548677,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.008290291983803565,0.018120759996750523,0.010579830921046243,0.017299834101393307,0.042953687920873077,0.23838351512360847,0.029742496423862202,0.02090361074000467,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.007767886176572765,0.0178791971459644,0.008540631867805357,0.01603466642055684,0.03821153554649359,0.22114507727286298,0.028685538504387455,0.019610099680459302,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.007245480369342687,0.017637634295179182,0.006501432814565238,0.01476949873971947,0.033469383172114106,0.20390663942211748,0.02762858058491141,0.018316588620915297,0.0,0.0,0.0,0.0
